Domain,Skills (Keywords for Resume)
Civil Engineer,"Structural Engineering (Statics, Dynamics, Design of Steel & Concrete Structures), Geotechnical Engineering (Soil Mechanics, Foundation Engineering), Water Resources Engineering (Hydraulics, Hydrology), Transportation Engineering (Traffic Engineering, Pavement Design), Construction Management (Scheduling, Cost Estimation, Quality Control), AutoCAD, Revit, Civil 3D, STAAD.Pro, ETABS, Building Codes & Standards (IBC, ASCE), Project Management (PMP)"
Arts,"Graphic Design (Print & Digital), Illustration (Vector & Raster), Animation (2D & 3D), Photography (Studio & Location), Videography (Editing & Production), Multimedia Design, Art History, Color Theory, Creativity, Communication Skills, Portfolio Website, Design Thinking"
Health and Fitness,"Exercise Science, Nutrition (Sports Nutrition), Personal Training, Fitness Assessment, Strength Training (Weightlifting, Plyometrics), Cardio Programming (HIIT, LISS), Yoga, Pilates, Injury Prevention, Motivation & Coaching, Anatomy & Physiology, Kinesiology"
Business Analyst,"Business Process Analysis, Requirements Gathering, User Story Writing, User Interface (UI) Prototyping, Data Analysis (Excel, SQL), Project Management (Agile, Waterfall) , Business Process Analysis, Requirements Gathering, User Story Writing, User Interface (UI) Prototyping, Data Analysis, Project Management, Communication Skills, Stakeholder Management, Business Acumen,  Microsoft Office Suite (Excel, Word, PowerPoint), Visio, BPMN Notation, Business Intelligence (BI) tools (optional)"
,
Python Developer,"Python (Django, Flask), Web Development, Data Science (NumPy, Pandas, Scikit-learn), Machine Learning, Automation Scripting, Web Scraping, API Development, Unit Testing (pytest), Version Control (Git), Continuous Integration (CI) (optional), Cloud Platforms (AWS, Azure, GCP) (optional), Python (core, libraries), Web Development (Django, Flask), Data Science (libraries: NumPy, Pandas, Scikit-learn), Machine Learning, Automation Scripting, API Development, Testing (unit testing, frameworks)"
SAP Developer,"SAP (Specific Module - e.g. SAP HCM, SAP FICO), ABAP Programming, SAP GUI Scripting, Business Process Integration (BPI), OData, Cloud Integration (HCI), Testing Tools (e.g. SAP Solution Manager), ERP Systems Knowledge, SAP (specific modules: ABAP, SuccessFactors, etc.), ABAP programming, UI/UX development for SAP, Business Process integration, Testing in SAP environment, SAP Security"
Electrical Engineer,"Circuits, Electronics, Power Systems, Control Systems, Digital Signal Processing (DSP), Embedded Systems, Microcontrollers, VHDL, Verilog, PCB Design, MATLAB/Simulink, SPICE, Engineering Design Software (e.g. SolidWorks), Project Management,"
ETL Developer,"Data Integration, Data Extraction (ETL Tools - e.g. Informatica PowerCenter, SSIS), Data Transformation, Data Cleaning, Data Mapping, SQL (Various dialects), Scripting Languages (Python, Perl) (optional), Data Warehousing, Data Lakes, Cloud Platforms (AWS, Azure, GCP), Data Extraction, Transformation, Loading, ETL tools (Informatica, SSIS), Data Integration, Data Mapping, Data Quality, Scripting languages (SQL, Python), Data warehousing concepts"
Blockchain Developer,"Blockchain Technology (Bitcoin, Ethereum, Hyperledger Fabric), Cryptocurrencies, Smart Contracts, Decentralized Applications (dApps), Distributed Ledger Technology (DLT), Security & Cryptography (e.g. Elliptic Curve Cryptography), Consensus Mechanisms (e.g. Proof of Work, Proof of Stake), Solidity Programming (optional), Blockchain technology (Bitcoin, Ethereum), Cryptography, Smart contracts, Distributed Ledger Technology (DLT), Consensus mechanisms, Security protocols, Decentralized applications (dApps), Specific Blockchain platforms (e.g., Hyperledger Fabric)"
Mechanical Engineer,"Mechanics, Thermodynamics, Fluid Mechanics, Machine Design, CAD (SolidWorks, CATIA, ANSYS), Finite Element Analysis (FEA), Materials Science, Manufacturing Processes (e.g. CNC Machining, 3D Printing), Project Management, Computer-Aided Engineering (CAE) tools (optional)"
Network Security Engineer,"Network Security, Firewalls, Intrusion Detection/Prevention Systems (IDS/IPS), VPNs, Network Analysis, Vulnerability Management, Security Protocols (SSL/TLS, SSH), Cloud Security, Security Automation, Security Information and Event Management (SIEM) tools (optional), Network Security concepts (firewalls, intrusion detection), Network Security tools (Snort, SIEM), Security protocols (VPN, SSH), Vulnerability assessment & penetration testing, Network monitoring & analysis, Operating Systems (Windows, Linux)"
Sales,"Sales Techniques, Lead Generation, Customer Relationship Management (CRM), Negotiation, Product Knowledge, Communication Skills, Prospecting, Account Management, Sales Pipeline Management, Sales Forecasting, Closing Techniques, CRM Software (e.g. Salesforce), Lead Generation, Prospecting, Sales cycle management, Closing deals, Negotiation, Customer Relationship Management (CRM), Product knowledge, Communication skills, Presentation skills, Target achievement"
Operations Manager,"Operations Management, Supply Chain Management, Project Management, Process Improvement, Lean Six Sigma, Inventory Management, Scheduling, Budgeting, Team Leadership, Data Analysis, Enterprise Resource Planning (ERP) Systems (optional), Operations planning & scheduling, Supply chain management, Inventory management, Resource management, Process improvement, Project management, Budget management, Communication, Leadership"
Web Designer,"HTML, CSS, JavaScript (React, Angular), Web Development Frameworks (Bootstrap, Materialize), UI/UX Design, Responsive Design, Web Accessibility (WCAG), Content Management Systems (CMS - e.g. WordPress), Design Thinking, User Research, Usability Testing, HTML, CSS, JavaScript (React, Angular), Web Development Frameworks (Bootstrap, Materialize), UI/UX Design, Responsive Design, Web Accessibility (WCAG), Content Management Systems (CMS - e.g. WordPress), Design Thinking, User Research, Usability Testing"
PMO (Project Management Office),"Project Management Methodologies (e.g. Agile, Waterfall), Project Planning & Scheduling, Risk Management, Resource Management, Budget Management, Project Reporting, Stakeholder Management, Communication Skills, Project Management Software (e.g. MS Project, Jira),Project Management methodologies (Agile, Waterfall), Project planning & scheduling, Resource management, Risk management, Budget management, Communication, Stakeholder management, Project Management tools (MS Project, Jira)"
